<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230101,012500,16521.5700000,16538.0000000,16521.5700000,16537.9700000,19
GDAX.BTC-USD,1,20230101,012600,16537.9700000,16543.8600000,16536.7700000,16540.6800000,28
GDAX.BTC-USD,1,20230101,012700,16540.6700000,16540.6900000,16535.6100000,16536.7200000,12
GDAX.BTC-USD,1,20230101,012800,16536.6300000,16540.6000000,16530.1800000,16536.2700000,39
GDAX.BTC-USD,1,20230101,012900,16536.2700000,16536.3400000,16532.1800000,16535.3200000,8
GDAX.BTC-USD,1,20230101,013000,16535.3200000,16538.3100000,16531.2200000,16531.2200000,28
GDAX.BTC-USD,1,20230101,013100,16531.4800000,16541.9900000,16531.4700000,16541.9900000,16
GDAX.BTC-USD,1,20230101,013200,16541.9800000,16544.8300000,16540.1200000,16540.3200000,18
GDAX.BTC-USD,1,20230101,013300,16541.0000000,16541.0700000,16537.3400000,16539.4600000,5
GDAX.BTC-USD,1,20230101,013400,16539.4600000,16539.5000000,16533.2100000,16535.7500000,10
GDAX.BTC-USD,1,20230101,013500,16535.7500000,16540.2000000,16530.3300000,16531.2300000,23
GDAX.BTC-USD,1,20230101,013600,16531.2300000,16532.8700000,16521.9700000,16523.0000000,20
GDAX.BTC-USD,1,20230101,013700,16521.0500000,16526.7300000,16517.2200000,16520.3700000,16
GDAX.BTC-USD,1,20230101,013800,16523.6600000,16523.9900000,16515.0700000,16520.8500000,9
GDAX.BTC-USD,1,20230101,013900,16521.7500000,16525.0000000,16519.9400000,16523.4100000,16
GDAX.BTC-USD,1,20230101,014000,16522.9900000,16523.5400000,16521.2800000,16523.2100000,9
GDAX.BTC-USD,1,20230101,014100,16522.1700000,16522.2800000,16510.0000000,16512.1300000,28
GDAX.BTC-USD,1,20230101,014200,16511.8700000,16514.5100000,16506.6500000,16509.8700000,33
GDAX.BTC-USD,1,20230101,014300,16513.3700000,16523.2500000,16513.3500000,16523.2500000,23
GDAX.BTC-USD,1,20230101,014400,16523.2500000,16528.7200000,16518.9700000,16528.7200000,40
GDAX.BTC-USD,1,20230101,014500,16528.1700000,16534.8500000,16523.3000000,16525.7100000,38
GDAX.BTC-USD,1,20230101,014600,16526.7400000,16528.1600000,16521.3300000,16524.8600000,14
GDAX.BTC-USD,1,20230101,014700,16524.8600000,16524.8700000,16516.2800000,16518.9700000,9
GDAX.BTC-USD,1,20230101,014800,16518.9000000,16519.4500000,16512.0700000,16512.0800000,12
GDAX.BTC-USD,1,20230101,014900,16512.0700000,16513.5700000,16502.7400000,16509.4600000,25
GDAX.BTC-USD,1,20230101,015000,16509.4600000,16511.4600000,16462.4900000,16466.5700000,164
GDAX.BTC-USD,1,20230101,015100,16466.5700000,16524.0000000,16466.5700000,16501.8400000,39
GDAX.BTC-USD,1,20230101,015200,16501.7600000,16506.1800000,16494.6600000,16501.7300000,34
GDAX.BTC-USD,1,20230101,015300,16501.7100000,16515.7500000,16501.6100000,16515.7300000,15
GDAX.BTC-USD,1,20230101,015400,16515.7300000,16519.6600000,16504.8200000,16509.3200000,12
GDAX.BTC-USD,1,20230101,015500,16507.8700000,16510.6600000,16502.1700000,16507.7200000,21
GDAX.BTC-USD,1,20230101,015600,16506.4400000,16507.9800000,16500.6700000,16507.8800000,18
GDAX.BTC-USD,1,20230101,015700,16507.8800000,16510.5400000,16501.0000000,16503.4100000,16
GDAX.BTC-USD,1,20230101,015800,16504.7900000,16512.5900000,16501.5500000,16508.5500000,25
GDAX.BTC-USD,1,20230101,015900,16509.3300000,16511.0000000,16503.5100000,16510.9900000,16
GDAX.BTC-USD,1,20230101,020000,16510.7000000,16514.3800000,16506.1100000,16511.4500000,15
GDAX.BTC-USD,1,20230101,020100,16510.2400000,16511.3100000,16495.0700000,16495.1800000,18
GDAX.BTC-USD,1,20230101,020200,16495.0200000,16506.7200000,16491.2100000,16502.3900000,34
GDAX.BTC-USD,1,20230101,020300,16502.2600000,16511.6200000,16497.1700000,16499.5800000,17
GDAX.BTC-USD,1,20230101,020400,16499.5800000,16503.5100000,16494.1700000,16498.2100000,33
GDAX.BTC-USD,1,20230101,020500,16498.0700000,16506.2200000,16496.4500000,16504.9300000,17
GDAX.BTC-USD,1,20230101,020600,16504.2100000,16504.2100000,16495.7700000,16501.0100000,20
GDAX.BTC-USD,1,20230101,020700,16500.1000000,16501.6100000,16493.8400000,16496.5400000,19
GDAX.BTC-USD,1,20230101,020800,16496.4800000,16496.4800000,16485.6100000,16486.4700000,8
GDAX.BTC-USD,1,20230101,020900,16487.1100000,16491.2400000,16482.1800000,16486.7900000,20
GDAX.BTC-USD,1,20230101,021000,16486.0200000,16491.9300000,16484.4500000,16488.6800000,14
GDAX.BTC-USD,1,20230101,021100,16488.6800000,16492.0000000,16483.5500000,16484.3800000,22
GDAX.BTC-USD,1,20230101,021200,16484.5100000,16485.2100000,16478.4200000,16484.6800000,26
GDAX.BTC-USD,1,20230101,021300,16484.6600000,16491.4400000,16484.6400000,16487.6100000,23
GDAX.BTC-USD,1,20230101,021400,16487.5900000,16494.1800000,16485.4500000,16492.5000000,25
GDAX.BTC-USD,1,20230101,021500,16493.1400000,16506.7700000,16490.6100000,16505.8400000,49
GDAX.BTC-USD,1,20230101,021600,16506.1000000,16512.1100000,16504.4900000,16510.2100000,22
GDAX.BTC-USD,1,20230101,021700,16510.7000000,16513.6200000,16505.5400000,16510.5700000,25
GDAX.BTC-USD,1,20230101,021800,16509.9700000,16514.1400000,16506.8300000,16510.0200000,15
